name,planet_status,M_p,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,R_p,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,a_p,semi_major_axis_error_min,semi_major_axis_error_max,e_p,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,M_star,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,unknown_teff,unknown_age,unknown_radius,unknown_period,unknown_impact,unknown_mag_v,rH_pro,rH_ret,rR_Mm_best,laplace,pass_hill_pro,pass_hill_ret,pass_roche,pass_laplace,pass_all,best_Mm_Mjup,best_e_m,best_rR_AU,best_ratio_rR_rH_pro
HD 152843 c,Confirmed,0.03043,0.006,0.006,,,,0.5299,0.0143,0.0071,27.13,8.37,8.37,0.148,0.004,0.004,0.074,0.05,0.07,89.21,0.5,0.4,,2021,2023-10-25,,,,,,,,,,2559002.7708,0.001,0.001,,,,,,,0.49,0.1,0.1,,,,7.1,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-2319 c,,HD 152843,253.783333336,20.491388905,8.85,,,,,107.898,0.317,0.317,-0.16,0.05,0.05,1.15,0.04,0.04,1.43,0.02,0.02,G0,,,,6310.0,100.0,100.0,,,TOI-2319,False,True,False,False,False,False,0.0013629822865045334,0.002576523543275377,,2.521897555280773,True,True,True,True,True,0.05,0.0,0.0004616866873279889,0.3387327127427443
HD 332231 b,Confirmed,0.244,0.021,0.021,,,,0.867,0.025,0.027,18.71204,0.00043,0.00043,0.1436,0.0033,0.0032,0.032,0.022,0.03,89.68,0.28,0.22,,2020,2022-02-21,47.0,74.0,69.0,,,,,,,2458729.67987,0.00038,0.00038,,,,,,,0.133,0.092,0.12,,,,17.3,1.2,1.2,,,,,,,,,,Submitted to a professional journal,Primary Transit,Radial Velocity,Primary Transit,TOI-1456 b,,HD 332231,306.74132496,33.7444513256,8.56,,,,,80.597,,,0.036,0.058,0.059,1.127,0.077,0.077,1.277,0.036,0.039,F8,4.3,1.9,2.5,6089.0,96.0,97.0,,,"TIC  199376584, TOI 1456",False,False,False,False,False,False,0.002789626662091252,0.005285837453748873,,1.214319304076685,True,True,True,True,True,0.05,0.0,0.0015119420805275816,0.5419872490730174
HD 83342 b,Confirmed,0.4012,0.0208,0.0208,,,,0.869,0.0196,0.0196,45.522149,3.9e-05,3.9e-05,0.2652,,,0.48,0.04,0.04,,,,,2024,2024-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-1898 b, TOI-1898.01",,HD 83342,144.55560221028,23.54692378126,7.86,,6.92,6.72,6.66,79.6682,0.44,0.44,-0.1,,,1.24,0.1898,0.1898,1.61,0.0796,0.0796,F7IV-V,3.4,0.5,1.0,6303.91,141.811,141.811,,,TOI-1898,False,False,False,False,True,False,0.0030795380058685476,0.0055673926245336,,1.9615266030715977,True,True,True,True,True,0.05,0.0,0.001788653429226455,0.5808187545722419
HD 89345 b,Confirmed,0.1073,0.0107,0.0107,,,,0.642,0.0134,0.0375,11.81469,0.00044,0.00044,0.105,0.0013,0.0013,0.203,0.031,0.031,87.7,,,,2018,2025-02-11,345.1,20.0,20.0,,,,,,,2457913.80316,0.00062,0.00062,,,,,,,0.489,0.064,0.064,,,,9.49,0.84,0.84,1053.0,14.0,14.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K2-234 b, EPIC 248777106 b",,HD 89345,154.670833347,10.129166679,9.4,,,,,126.6,3.5,3.7,0.45,0.04,0.04,1.12,0.01,0.04,1.657,0.004,0.02,G5V,9.4,1.3,0.4,5609.0,69.0,64.0,,,"K2-234, EPIC 248777106",False,False,False,False,False,False,0.0012712632789041358,0.0023818415093607996,,1.1651875312398343,True,True,True,True,True,0.05,0.0,0.0008513753078619165,0.6697080942948542
K2-114 b,Confirmed,1.85,0.23,0.22,,,,0.952,0.032,0.032,11.391013,0.000225,0.000224,0.0954,0.0011,0.0011,0.0,,,89.53,0.3,0.25,,2017,2021-02-05,,,,,,,2457151.71493,0.00069,0.00069,2457174.49729,0.00033,0.00033,,,,,,,0.44,0.22,0.13,,,,189.0,21.0,22.0,661.0,12.0,12.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K2-114 b, 2MASS J08313191+1155202 b, EPIC 211418729.01, WISE J083131.90+115520.1 b",,K2-114,127.882965,11.922265,,,12.835,12.386,12.3,484.8,7.97,7.97,0.39,0.05,0.05,0.89,0.03,0.03,0.84,0.02,0.02,,9.9,2.3,3.2,5044.0,68.0,68.0,,,"2MASS J08313191+1155202, EPIC 211418729, WISE J083131.90+115520.1",False,False,False,False,False,True,0.004073185466451171,0.007730739762856306,,0.37956681009812404,True,True,True,True,True,0.05,0.0,0.0032614718876570756,0.8007177464714579
K2-289 b,Confirmed,0.1529,0.0585,0.0585,,,,0.812,0.027,0.027,13.156969,5.1e-05,4.7e-05,0.107,0.001,0.001,0.0,,,88.48,0.07,0.07,,2019,2021-02-05,,,,,,,2456897.14325,0.00094,0.00097,2466897.14325,0.00097,0.00097,,,,,,,0.6,0.02,0.02,,,,,,,753.0,16.0,16.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"2MASS J16263433-1547326 b, EPIC 205686202 b, EPIC 205686202.01, WISE J162634.31-154732.9 b",,K2-289,246.643036,-15.792386,,,11.435,10.847,,270.7,7.1,7.6,0.162,0.074,0.087,0.95,0.05,0.04,1.02,0.03,0.03,,,,,5529.0,74.0,77.0,,,"2MASS J16263433-1547326, EPIC 205686202, WISE J162634.31-154732.9",False,True,False,False,False,True,0.0019471689754559898,0.0036956472391307567,,0.9988254054348045,True,True,True,True,True,0.05,0.0,0.00121174519422435,0.6223112680503664
K2-290 Ac,Confirmed,0.774,0.047,0.047,,,,1.006,0.05,0.05,48.36685,0.0004,0.0004,0.305,0.017,0.017,0.0,,,89.37,0.08,0.08,,2019,2024-07-28,90.0,,,,,,2458019.17333,0.00029,0.00029,2458019.17333,0.00029,0.00029,,,,153.0,8.0,8.0,0.474,0.012,0.012,,,,38.4,1.7,1.7,676.0,16.0,16.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 249624646 c, 2MASS J15392585-2011557 c, TYC 6193-663-1 c, WISE J153925.88-201155.9 c",,K2-290 A,234.857773,-20.198818,10.0,,9.771,9.477,9.42,272.909,3.721,3.824,-0.06,0.1,0.1,1.19,0.08,0.07,1.51,0.07,0.07,F7IV-V,4.0,0.8,1.6,6302.0,120.0,120.0,,,"BD-19 4173, TYC 6193-663-1, WISE J153925.88-201155.9, EPIC 249624646, 2MASS J15392585-2011557",False,False,False,False,False,False,0.008840762884554074,0.01677940710741896,,1.78745699666864,True,True,True,True,True,0.05,0.0,0.0025776923494111037,0.2915689950145204
Kepler-117 b,Confirmed,0.094,0.033,0.033,,,,0.719,0.024,0.024,18.7959228,7.5e-06,7.5e-06,0.1445,0.0014,0.0047,0.0493,0.0062,0.0062,88.74,0.12,0.12,,2014,2021-02-05,254.3,4.1,4.1,,,,2454978.82204,0.00035,0.00035,,,,,,,,,,0.446,0.032,0.032,,,,6.5,2.1,2.1,984.0,18.0,18.0,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19151032+4802248 b, K00209.02, KIC 10723750 b, KOI-209 b, KOI-209.02, WISE J191510.33+480224.6  b",,Kepler-117,288.793037,48.040234,,,13.324,12.988,13.011,1430.0,50.0,50.0,-0.04,0.1,0.1,1.13,0.02,0.13,1.61,0.05,0.05,F8 V,5.3,-1.4,1.4,6150.0,110.0,110.0,,,"2MASS J19151032+4802248, KIC 10723750, KOI-209, WISE J191510.33+480224.6",False,False,False,False,False,True,0.002003135026647733,0.0037919955758322866,,1.6808094184320113,True,True,True,True,True,0.05,0.0,0.0009123419053868748,0.4554570177496663
Kepler-117 c,Confirmed,1.84,0.18,0.18,,,,1.101,0.035,0.035,50.790391,1.4e-05,1.4e-05,0.2804,0.0028,0.0092,0.0323,0.0033,0.0033,89.64,0.1,0.1,,2014,2021-02-05,305.0,7.5,7.5,,,,2454968.63205,0.00025,0.00025,,,,,,,,,,0.268,0.087,0.036,,,,90.4,7.0,7.0,704.0,15.0,15.0,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19151032+4802248 c, K00209.01, KIC 10723750 c, KOI-209 c, KOI-209.01, WISE J191510.33+480224.6  c",,Kepler-117,288.793037,48.040234,,,13.324,12.988,13.011,1430.0,50.0,50.0,-0.04,0.1,0.1,1.13,0.02,0.13,1.61,0.05,0.05,F8 V,5.3,-1.4,1.4,6150.0,110.0,110.0,,,"2MASS J19151032+4802248, KIC 10723750, KOI-209, WISE J191510.33+480224.6",False,False,False,False,False,True,0.010668958306328791,0.020215419440882516,,1.210222748381507,True,True,True,True,True,0.05,0.0,0.003765124790311628,0.35290463063091815
Kepler-1514 b,Confirmed,5.28,0.22,0.22,,,,1.108,0.025,0.025,217.83184,0.00012,0.00012,0.753,0.014,0.014,0.401,0.014,0.014,89.944,0.01,0.013,,2016,2021-02-05,-75.28,0.71,0.75,2454981.75,0.74,0.74,2455071.81411,0.00046,0.00046,2455071.81411,0.00046,0.00046,,,,,,,0.169,0.039,0.03,,,,172.5,3.0,3.0,388.0,6.0,6.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19303059+3751364 b, K03681.01, KIC 2581316 b, KOI-3681 b, KOI-3681.01, TIC 137685450 b, TYC 3135-497-1 b, WISE J193030.59+375136.5 b",,Kepler-1514,292.627466,37.860133,,,10.953,10.728,10.688,389.3,5.9,6.1,0.119,0.075,0.08,1.2,0.06,0.07,1.29,0.03,0.03,,2.9,-1.3,1.6,6145.0,80.0,99.0,,,"2MASS J19303059+3751364, KIC 2581316, KOI-3681, TIC 137685450, TYC 3135-497-1, WISE J193030.59+375136.5",False,False,False,False,False,True,0.024230014662602745,0.044416713292534,,2.3333390355732835,True,True,True,True,True,0.05,0.0,0.005384398354359825,0.2222201855564805
