name,planet_status,M_p,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,R_p,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,a_p,semi_major_axis_error_min,semi_major_axis_error_max,e_p,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,M_star,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,unknown_teff,unknown_radius,unknown_period,unknown_impact,unknown_mag_v,rH_pro,rH_ret,rR_Mm_best,laplace,pass_hill_pro,pass_hill_ret,pass_roche,pass_laplace,pass_all,best_Mm_Mjup,best_e_m,best_rR_AU,best_ratio_rR_rH_pro,in_LOPS2,in_LOPN1,observable_by_PLATO
Kepler-117 b,Confirmed,0.094,0.033,0.033,,,,0.719,0.024,0.024,18.7959228,7.5e-06,7.5e-06,0.1445,0.0014,0.0047,0.0493,0.0062,0.0062,88.74,0.12,0.12,,2014,2021-02-05,254.3,4.1,4.1,,,,2454978.82204,0.00035,0.00035,,,,,,,,,,0.446,0.032,0.032,,,,6.5,2.1,2.1,984.0,18.0,18.0,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19151032+4802248 b, K00209.02, KIC 10723750 b, KOI-209 b, KOI-209.02, WISE J191510.33+480224.6  b",,Kepler-117,288.793037,48.040234,,,13.324,12.988,13.011,1430.0,50.0,50.0,-0.04,0.1,0.1,1.13,0.02,0.13,1.61,0.05,0.05,F8 V,5.3,-1.4,1.4,6150.0,110.0,110.0,,,"2MASS J19151032+4802248, KIC 10723750, KOI-209, WISE J191510.33+480224.6",False,False,False,False,True,0.0020031350266477,0.0037919955758322,,1.6808094184320113,True,True,True,True,True,0.05,0.0,0.0009123419053868,0.4554570177496663,False,True,True
Kepler-117 c,Confirmed,1.84,0.18,0.18,,,,1.101,0.035,0.035,50.790391,1.4e-05,1.4e-05,0.2804,0.0028,0.0092,0.0323,0.0033,0.0033,89.64,0.1,0.1,,2014,2021-02-05,305.0,7.5,7.5,,,,2454968.63205,0.00025,0.00025,,,,,,,,,,0.268,0.087,0.036,,,,90.4,7.0,7.0,704.0,15.0,15.0,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19151032+4802248 c, K00209.01, KIC 10723750 c, KOI-209 c, KOI-209.01, WISE J191510.33+480224.6  c",,Kepler-117,288.793037,48.040234,,,13.324,12.988,13.011,1430.0,50.0,50.0,-0.04,0.1,0.1,1.13,0.02,0.13,1.61,0.05,0.05,F8 V,5.3,-1.4,1.4,6150.0,110.0,110.0,,,"2MASS J19151032+4802248, KIC 10723750, KOI-209, WISE J191510.33+480224.6",False,False,False,False,True,0.0106689583063287,0.0202154194408825,,1.210222748381507,True,True,True,True,True,0.05,0.0,0.0037651247903116,0.3529046306309181,False,True,True
Kepler-1514 b,Confirmed,5.28,0.22,0.22,,,,1.108,0.025,0.025,217.83184,0.00012,0.00012,0.753,0.014,0.014,0.401,0.014,0.014,89.944,0.01,0.013,,2016,2021-02-05,-75.28,0.71,0.75,2454981.75,0.74,0.74,2455071.81411,0.00046,0.00046,2455071.81411,0.00046,0.00046,,,,,,,0.169,0.039,0.03,,,,172.5,3.0,3.0,388.0,6.0,6.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19303059+3751364 b, K03681.01, KIC 2581316 b, KOI-3681 b, KOI-3681.01, TIC 137685450 b, TYC 3135-497-1 b, WISE J193030.59+375136.5 b",,Kepler-1514,292.627466,37.860133,,,10.953,10.728,10.688,389.3,5.9,6.1,0.119,0.075,0.08,1.2,0.06,0.07,1.29,0.03,0.03,,2.9,-1.3,1.6,6145.0,80.0,99.0,,,"2MASS J19303059+3751364, KIC 2581316, KOI-3681, TIC 137685450, TYC 3135-497-1, WISE J193030.59+375136.5",False,False,False,False,True,0.0242300146626027,0.044416713292534,,2.3333390355732835,True,True,True,True,True,0.05,0.0,0.0053843983543598,0.2222201855564805,False,True,True
Kepler-1657 b,Confirmed,1.93,0.21,0.19,,,,0.99,0.07,0.06,141.241671,8.6e-05,8.6e-05,0.534,0.03,0.012,0.496,0.031,0.031,89.892,0.086,0.069,,2018,2024-05-29,154.7,7.8,7.8,,,,2455936.65434,0.00018,0.00018,2455936.65434,0.00018,0.00018,,,,,,,0.15,0.09,0.1,,,,87.7,6.6,6.6,347.0,12.0,12.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K03680.01, 2MASS J19330757+4518348 b, KIC 9025971 b, KOI-3680.01, WISE J193307.57+451834.8 b, KOI-3680 b",,Kepler-1657,293.281566,45.309677,,14.325,13.384,13.041,13.101,946.59,24.45,24.45,0.16,0.07,0.07,1.01,0.06,0.05,0.96,0.073,0.345,G2V,3.2,2.3,9.6,5830.0,100.0,100.0,,,"2MASS J19330757+4518348, KOI-3680, KIC 9025971, WISE J193307.57+451834.8, TIC 275574174",False,False,False,False,True,0.0108432772008622,0.0195366186045536,,2.1850583616216515,True,True,True,True,True,0.05,0.0,0.0034398571890445,0.3172340912552747,False,True,True
Kepler-420 Ab,Confirmed,1.45,0.35,0.35,,,,0.94,0.12,0.12,86.647661,3.4e-05,3.4e-05,0.382,0.006,0.006,0.772,0.045,0.045,89.66,0.24,0.38,,2014,2024-07-28,141.3,17.0,17.0,,,,2455006.79454,0.0003,0.0003,2455006.79454,0.0004,0.0004,,,,74.0,32.0,46.0,,,,,,,,,,511.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,"KOI-1257 b, 2MASS J19245404+4455385 b, K01257.01, KIC 8751933 b, KOI-1257.01, WISE J192454.01+445538.5 b, KOI-1257 Ab, TIC 159647910 b",,Kepler-420 A,291.22518,44.927383,,,13.222,12.827,,900.0,110.0,110.0,0.27,0.09,0.09,0.99,0.05,0.05,1.13,0.14,0.14,G5V,9.3,3.0,3.0,5520.0,80.0,80.0,,,"2MASS J19245404+4455385, KIC 8751933, KOI-1257 A, WISE J192454.01+445538.5, KOI-1257, TIC 159647910",False,False,False,True,True,0.002972904576,0.0045791893398556,,1.7079934057453543,True,True,True,True,True,0.05,0.0,0.0029691807480377,0.9987474108680278,False,True,True
Kepler-47 (AB)d,Confirmed,0.05984,0.0368,0.0749,,,,0.6281,0.0437,0.0589,187.35,0.15,0.15,0.6992,0.0033,0.0033,0.024,0.017,0.025,90.0,,,,2013,2024-08-12,352.0,166.0,96.0,,,,,,,2455045.428,0.047,0.044,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,Theoretical,Primary Transit,,,Kepler-47 A,295.2979,46.92,,,,,,,,,,,,1.043,0.055,0.055,0.964,0.017,0.017,,,,,5636.0,100.0,100.0,,,,False,False,False,True,True,0.0087988328366258,0.0166792778572757,,9.205189994486137,True,True,True,True,True,0.05,0.0,0.0006856125678466,0.0779208538878905,False,True,True
Kepler-64 (AB)b,Confirmed,0.53,0.53,0.0,,,,0.553,0.015,0.015,138.506,0.1,0.1,0.634,0.011,0.011,0.0539,0.0081,0.0081,90.0,0.07,0.07,,2013,2024-08-12,348.0,6.7,5.0,,,,,,,2455074.71,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"KIC 4862625 (AB) b, PH1 (AB) b",,Kepler-64 (AB),298.2167,39.955,,,,,,,,,,,,1.93,0.09,0.09,1.7,,,F+M,,,,,,,,,KIC 4862625 (AB),True,False,False,True,True,0.013021114573292,0.0246430260402023,,4.9527928830367856,True,True,True,True,True,0.05,0.0,0.001248925509168,0.0959154074052749,False,True,True
Kepler-86 b,Confirmed,0.34235,0.101,0.094,,,,0.8466,0.0143,0.0143,282.5254,0.0001,0.0001,0.824,0.019,0.019,0.28,0.13,0.12,89.915,0.022,0.022,,2013,2019-10-09,30.0,45.0,51.0,,,,,,,2455761.12272,0.00015,0.00015,,,,,,,,,,,,,11.47,3.0,3.0,281.0,,,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,,"KIC-12735740 b, PH-2 b",,Kepler-86,289.7625,51.9625,,,,,,,,,-0.078,0.028,0.032,0.94,0.02,0.02,1.0,0.05,0.05,,,,,5629.0,45.0,42.0,,,"KIC 12735740, PH2",False,False,False,True,True,0.0140088520132678,0.0260651331949379,,5.858864869320613,True,True,True,True,True,0.05,0.0,0.0016528032436373,0.1179827756101639,False,True,True
NGTS-29 b,Confirmed,0.39,0.03,0.03,,,,0.857,0.012,0.012,69.33684,1e-05,1e-05,0.347,0.029,0.029,0.17,0.1,0.02,,,,,2024,2024-05-14,-104.0,21.0,6.0,,,,,,,,,,,,,,,,,,,,,,18.8,14.0,14.0,414.0,7.0,28.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-2447 b,,NGTS-29,70.9975,-39.906666666666666,10.0,,,,,149.4,0.3,0.3,0.18,0.08,0.08,1.034,0.032,0.032,1.006,0.009,0.009,,2.1,1.0,1.0,5730.0,80.0,80.0,,,TOI-2447,False,False,False,True,False,0.006918905060311,0.0129964856713647,,2.438644800323697,True,True,True,True,True,0.05,0.0,0.001747384473907,0.2525521681068552,True,False,True
TOI-2010 Ab,Confirmed,1.286,0.057,0.057,,,,1.054,0.027,0.027,141.834025,6.6e-05,6.6e-05,0.5516,0.009,0.008,0.212,0.02,0.02,89.9,0.06,0.06,,2023,2024-07-28,98.8,4.9,4.9,,,,,,,2458712.30168,0.0004,0.0004,,,,,,,0.147,0.1,0.09,,,,47.8,1.5,1.5,400.0,5.7,5.7,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-2010.01,,TOI-2010 A,292.16666668,53.487500013,9.85,,,,,108.26,0.2,0.2,0.17,0.055,0.055,1.112,0.55,0.048,1.075,0.009,0.009,G0V,1.9,1.3,2.2,5929.0,74.0,74.0,,,BD+53 2248,False,False,False,False,False,0.0151403180199992,0.0283460141098162,,2.6683694490756085,True,True,True,True,True,0.05,0.0,0.0031987015099552,0.2112704307617578,False,True,True
